label,id,genus,species,species_reference,lifestyle,habitat_reference,terrane,country,province,locality,site,siteN,type_locality,latitude,longitude,elevation,SIA,BDNF,NXC1,CYTB,ND4,tiplabsite
BPBM33763-Oreophryne_A_anamiatoi,BPBM33763,Oreophryne A,anamiatoi,Kraus & Allison 2009,arboreal,Kraus & Allison 2009,fold,Papua New Guinea,Southern Highlands Province,Mt. Itukua,Tangi,11,type locality,-5.66954,142.62334,2177,MZ634614,MZ634850,MZ635085,MZ635322,MZ647766,BPBM33763-Oreophryne_A_anamiatoi-Tangi-Mt._Itukua
BPBM34677-Oreophryne_A_cameroni,BPBM34677,Oreophryne A,cameroni,Kraus 2013,arboreal,Kraus 2013,accreted,Papua New Guinea,Madang Province,Adelbert Mts.,Keki Lodge,21,Holotype,-4.70485,145.40418,854,MZ634598,MZ634834,MZ635069,MZ635306,MZ647752,BPBM34677-Oreophryne_A_cameroni-Keki_Lodge-Adelbert_Mts.
BPBM34688-Oreophryne_A_biroi,BPBM34688,Oreophryne A,biroi,Loveridge 1948,arboreal,Mehely 1897,accreted,Papua New Guinea,East Sepik Province,Torricelli Mts.,Mindangua Stream,16,,-3.60565,143.49212,410,MZ634602,MZ634838,MZ635073,MZ635310,MZ647756,BPBM34688-Oreophryne_A_biroi-Mindangua_Stream-Torricelli_Mts.
BPBM38990-Oreophryne_A_sp.2,BPBM38990,Oreophryne A,sp.2,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Binigua Site 2,51,,-9.70712,149.24985,900,MZ634599,MZ634835,MZ635070,MZ635307,MZ647753,BPBM38990-Oreophryne_A_sp.2-Binigua_Site_2-Mt._Dayman_Foothills
BPBM38992-Oreophryne_A_sp.2,BPBM38992,Oreophryne A,sp.2,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Binigua Site 2,51,,-9.70712,149.24985,900,MZ634642,MZ634878,MZ635113,MZ635350,MZ647794,BPBM38992-Oreophryne_A_sp.2-Binigua_Site_2-Mt._Dayman_Foothills
BPBM39156-Oreophryne_A_sp.1,BPBM39156,Oreophryne A,sp.1,,arboreal,,epct,Papua New Guinea,Oro Province,Mt. Suckling,Biniguni,52,,-9.6708,149.2779,NA,MZ634743,MZ634978,MZ635215,MZ635448,MZ647893,BPBM39156-Oreophryne_A_sp.1-Biniguni-Mt._Suckling
BPBM39244-Oreophryne_A_sp.3,BPBM39244,Oreophryne A,sp.3,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Binigua Site 2,51,,-9.70712,149.24985,900,MZ634616,MZ634852,MZ635087,MZ635324,MZ647768,BPBM39244-Oreophryne_A_sp.3-Binigua_Site_2-Mt._Dayman_Foothills
BPBM39366-Oreophryne_A_sp.5,BPBM39366,Oreophryne A,sp.5,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Biniguni Bunua,49,,-9.76505,149.21764,NA,MZ634662,MZ634898,MZ635133,MZ635370,MZ647813,BPBM39366-Oreophryne_A_sp.5-Biniguni_Bunua-Mt._Dayman_Foothills
BPBM40145-Oreophryne_A_sp.6,BPBM40145,Oreophryne A,sp.6,,arboreal,,epct,Papua New Guinea,Oro Province,Mt. Trafalgar,Camp 2,47,,-9.19056,149.16113,833,MZ634609,MZ634845,MZ635080,MZ635317,MZ647762,BPBM40145-Oreophryne_A_sp.6-Camp_2-Mt._Trafalgar
CMNH1366-Oreophryne_A_anulata,CMNH1366,Oreophryne A,anulata,Parker 1934,arboreal,,notpng,Philippines,Mindanao,"Mindanao Island, Philippines",Mt. Apo,78,type locality,6.9875,125.270833,NA,MZ634667,MZ634903,MZ635138,MZ635375,MZ647818,"CMNH1366-Oreophryne_A_anulata-Mt._Apo-Mindanao_Island,_Philippines"
KU321316-Oreophryne_A_nana,KU321316,Oreophryne A,nana,Brown & Alcala 1967,scansorial,,notpng,Philippines,Zamboanga,"Western Mindanao, Philippines",Camiguin Sur Island,79,type locality,9.17,124.72,NA,MZ634668,MZ634904,MZ635139,MZ635376,MZ647819,"KU321316-Oreophryne_A_nana-Camiguin_Sur_Island-Western_Mindanao,_Philippines"
MB342-Oreophryne_A_loriae,MB342,Oreophryne A,loriae,Van Kampen 1919,arboreal,Butler field notes,epct,Papua New Guinea,Central Province,Mt. Gerebu,Maru Ruama,39,,-9.465633,147.6414,500,MZ634764,MZ634999,MZ635236,MZ635469,MZ647913,MB342-Oreophryne_A_loriae-Maru_Ruama-Mt._Gerebu
MB484-Oreophryne_A_cf._geislerorum.2,MB484,Oreophryne A,cf. geislerorum.2,,arboreal,AA field notes,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,Cliffside Camp Kamiali,30,,-7.29426,147.09365,515,MZ634773,MZ635008,MZ635245,MZ635478,MZ647922,MB484-Oreophryne_A_cf._geislerorum.2-Cliffside_Camp_Kamiali-Bowutu_Mts.
UMMZ242404-Oreophryne_A_sp.8,UMMZ242404,Oreophryne A,sp.8,Van Kampen 1919,arboreal,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mwatebu,66,,-10.0589,151.0717,500,MZ634576,MZ634812,MZ635047,MZ635284,MZ647731,UMMZ242404-Oreophryne_A_sp.8-Mwatebu-Normanby_Island
BPBM15775-Oreophryne_B_equus,BPBM15775,Oreophryne B,equus,Kraus 2016,arboreal,Kraus 2016,epct,Papua New Guinea,Milne Bay Province,Cloudy Mts.,Upaelisafupi Stream,58,type locality,-10.4970833,150.2329666,715,MZ634660,MZ634896,MZ635131,MZ635368,MZ647811,BPBM15775-Oreophryne_B_equus-Upaelisafupi_Stream-Cloudy_Mts.
BPBM16546-Oreophryne_B_insulana,BPBM16546,Oreophryne B,insulana,Zweifel 1956,arboreal,Zweifel 1956,dentrecasteaux,Papua New Guinea,Milne Bay Province,Fergusson Island,Summit Mt. Kilkerran,60,,-9.45851,150.76911,1830,MZ634688,MZ634924,MZ635159,MZ635396,MZ647839,BPBM16546-Oreophryne_B_insulana-Summit_Mt._Kilkerran-Fergusson_Island
BPBM17980-Oreophryne_B_matawan,BPBM17980,Oreophryne B,matawan,Kraus 2016,arboreal,Kraus 2016,epct,Papua New Guinea,Milne Bay Province,Mt. Simpson Massif,Bunisi,54,type locality,-10.0226449,149.5919854,1400,MZ634726,MZ634962,MZ635197,MZ635433,MZ647876,BPBM17980-Oreophryne_B_matawan-Bunisi-Mt._Simpson_Massif
BPBM18128-Oreophryne_B_picticrus,BPBM18128,Oreophryne B,picticrus,Kraus 2016,arboreal,,misima,Papua New Guinea,Milne Bay Province,Misima Island,Bwaga Bwaga ridge,68,holotype,-10.674,152.683,460,MZ634724,MZ634960,MZ635195,MZ635431,MZ647874,BPBM18128-Oreophryne_B_picticrus-Bwaga_Bwaga_ridge-Misima_Island
BPBM20440-Oreophryne_B_meliades,BPBM20440,Oreophryne B,meliades,Kraus 2016,arboreal,Kraus 2016,sudest,Papua New Guinea,Milne Bay Province,Sudest Island,Araeda,72,type locality,-11.43624,153.43008,10.5,MZ634753,MZ634988,MZ635225,MZ635458,MZ647903,BPBM20440-Oreophryne_B_meliades-Araeda-Sudest_Island
BPBM20469-Oreophryne_B_ezra,BPBM20469,Oreophryne B,ezra,Kraus & Allison 2009,arboreal,Kraus & Allison 2009,sudest,Papua New Guinea,Milne Bay Province,Sudest Island,Mt. Rio,71,type locality,-11.5054,153.43,679.5,MZ634749,MZ634984,MZ635221,MZ635454,MZ647899,BPBM20469-Oreophryne_B_ezra-Mt._Rio-Sudest_Island
BPBM20501-Oreophryne_B_meliades,BPBM20501,Oreophryne B,meliades,Kraus 2016,arboreal,Kraus 2016,sudest,Papua New Guinea,Milne Bay Province,Sudest Island,Araeda,72,type locality,-11.43624,153.43008,10.5,MZ634657,MZ634893,MZ635128,MZ635365,MZ647808,BPBM20501-Oreophryne_B_meliades-Araeda-Sudest_Island
BPBM20532-Oreophryne_B_sp.3,BPBM20532,Oreophryne B,sp.3,,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Mt. Rossel,75,,-11.35552,154.22459,720,MZ634747,MZ634982,MZ635219,MZ635452,MZ647897,BPBM20532-Oreophryne_B_sp.3-Mt._Rossel-Rossel_Island
BPBM20538-Oreophryne_B_sp.3,BPBM20538,Oreophryne B,sp.3,,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Mt. Rossel,75,,-11.35552,154.22459,720,MZ634640,MZ634876,MZ635111,MZ635348,MZ647792,BPBM20538-Oreophryne_B_sp.3-Mt._Rossel-Rossel_Island
BPBM20571-Oreophryne_B_sp.2,BPBM20571,Oreophryne B,sp.2,,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Mt. Rossel,75,,-11.35552,154.22459,720,MZ634585,MZ634821,MZ635056,MZ635293,MZ647740,BPBM20571-Oreophryne_B_sp.2-Mt._Rossel-Rossel_Island
BPBM20572-Oreophryne_B_sp.3,BPBM20572,Oreophryne B,sp.3,,arboreal,,rossel,Papua New Guinea,Milne Bay Province,Rossel Island,Mt. Rossel,75,,-11.35552,154.22459,720,MZ634592,MZ634828,MZ635063,MZ635300,MZ647746,BPBM20572-Oreophryne_B_sp.3-Mt._Rossel-Rossel_Island
BPBM38988-Oreophryne_B_sp.4,BPBM38988,Oreophryne B,sp.4,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Suckling Dayman Dome,Site 1,48,,-9.75802,149.18218,NA,MZ634619,MZ634855,MZ635090,MZ635327,MZ647771,BPBM38988-Oreophryne_B_sp.4-Site_1-Suckling_Dayman_Dome
BPBM39000-Oreophryne_B_sp.1,BPBM39000,Oreophryne B,sp.1,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Mt. Dayman Foothills,Binigua Site 2,51,,-9.70712,149.24985,900,MZ634597,MZ634833,MZ635068,MZ635305,MZ647751,BPBM39000-Oreophryne_B_sp.1-Binigua_Site_2-Mt._Dayman_Foothills
BPBM39344-Oreophryne_B_sp.4,BPBM39344,Oreophryne B,sp.4,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Suckling Dayman Dome,Site 1,48,,-9.75802,149.18218,NA,MZ634645,MZ634881,MZ635116,MZ635353,MZ647796,BPBM39344-Oreophryne_B_sp.4-Site_1-Suckling_Dayman_Dome
BPBM39357-Oreophryne_B_sp.6,BPBM39357,Oreophryne B,sp.6,,arboreal,,epct,Papua New Guinea,Milne Bay Province,Suckling Dayman Dome,Site 1,48,,-9.75802,149.18218,NA,MZ634607,MZ634843,MZ635078,MZ635315,MZ647760,BPBM39357-Oreophryne_B_sp.6-Site_1-Suckling_Dayman_Dome
BPBM39510-Oreophryne_B_phoebe,BPBM39510,Oreophryne B,phoebe,Kraus 2017,arboreal,Kraus 2017,woodlark,Papua New Guinea,Milne Bay Province,Woodlark Island,Bomagai,69,type locality,-9.12165,152.74862,67,MZ634643,MZ634879,MZ635114,MZ635351,MZ647795,BPBM39510-Oreophryne_B_phoebe-Bomagai-Woodlark_Island
BPBM40143-Oreophryne_B_brunnea,BPBM40143,Oreophryne B,brunnea,Kraus 2017,arboreal,Kraus 2017,epct,Papua New Guinea,Oro Province,Mt. Trafalgar,Camp 2,47,type locality,-9.19514,149.16164,833,MZ634751,MZ634986,MZ635223,MZ635456,MZ647901,BPBM40143-Oreophryne_B_brunnea-Camp_2-Mt._Trafalgar
JAM11383-Oreophryne_B_sp.5,JAM11383,Oreophryne B,sp.5,,arboreal,as per Allen Allison,notpng,Indonesia,Sulawesi,Sulawesi,Gunung Balease,77,,-1.8479,120.5279,NA,MZ634582,MZ634818,MZ635053,MZ635290,MZ647737,JAM11383-Oreophryne_B_sp.5-Gunung_Balease-Sulawesi
MB627-Oreophryne_B_penelopia,MB627,Oreophryne B,penelopia,Kraus 2016,arboreal,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Buyetai,64,,-10.0619,150.98416,2,MZ634784,MZ635019,MZ635256,MZ635489,MZ647933,MB627-Oreophryne_B_penelopia-Buyetai-Normanby_Island
TNHC58922-Oreophryne_B_variabilis,TNHC58922,Oreophryne B,variabilis,Van Kampen 1923,arboreal,,notpng,Indonesia,Sulawesi,"Celebes Island, Sulawesi",Mt. Lompo Battang,119.931667,,-5.346667,119.931667,NA,MZ634666,MZ634902,MZ635137,MZ635374,MZ647817,"TNHC58922-Oreophryne_B_variabilis-Mt._Lompo_Battang-Celebes_Island,_Sulawesi"
UMMZ242398-Oreophryne_B_penelopia,UMMZ242398,Oreophryne B,penelopia,Kraus 2016,arboreal,Butler field notes,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,Mt. Hobia,65,,-10.07959,151.00602,1000,MZ634580,MZ634816,MZ635051,MZ635288,MZ647735,UMMZ242398-Oreophryne_B_penelopia-Mt._Hobia-Normanby_Island
